8,2,10.4,5,1.989,1,0.9,0.1,0.1
4,1,6.4,12,1.969,1,0.9,0.1,0.1
13,4,14.1,1,1.989,2,0.1,0.9,0.1
13,1,7.4,5,1.984,1,0.9,0.1,0.1
12,2,9.5,9,1.982,1,0.9,0.1,0.1
12,3,12,3,1.998,3,0.1,0.1,0.9
0,2,9.2,9,1.977,3,0.1,0.1,0.9
7,1,7.5,5,1.984,1,0.9,0.1,0.1
0,2,9.2,9,1.978,2,0.1,0.9,0.1
10,2,9.2,9,1.976,2,0.1,0.9,0.1
5,2,9.4,10,2.002,2,0.1,0.9,0.1
15,1,6.5,3,1.975,2,0.1,0.9,0.1
11,2,10.4,5,1.987,2,0.1,0.9,0.1
20,3,11.4,10,2.004,2,0.1,0.9,0.1
1,2,9.3,9,1.985,1,0.9,0.1,0.1
24,4,14.5,1,1.996,3,0.1,0.1,0.9
3,2,8.4,11,1.986,1,0.9,0.1,0.1
20,2,9,5,2.002,2,0.1,0.9,0.1
4,2,9.2,9,1.985,3,0.1,0.1,0.9
8,2,9,5,2.003,2,0.1,0.9,0.1
11,1,6.4,11,1.986,1,0.9,0.1,0.1
25,1,7.4,5,1.986,1,0.9,0.1,0.1
1,1,6.8,9,1.982,1,0.9,0.1,0.1
9,3,12.3,3,1.979,3,0.1,0.1,0.9
10,2,8.4,11,1.986,2,0.1,0.9,0.1
18,1,5.6,12,1.971,1,0.9,0.1,0.1
0,1,6.8,9,1.979,1,0.9,0.1,0.1
23,3,12.5,3,1.989,3,0.1,0.1,0.9
8,2,10.4,5,1.993,1,0.9,0.1,0.1
22,2,10.5,5,1.985,2,0.1,0.9,0.1
24,3,12.2,3,1.998,2,0.1,0.9,0.1
22,2,10.4,5,1.988,2,0.1,0.9,0.1
1,2,9.1,9,1.978,2,0.1,0.9,0.1
24,3,12.2,3,1.996,2,0.1,0.9,0.1
25,2,8.4,11,1.986,1,0.9,0.1,0.1
13,3,11,3,2.001,2,0.1,0.9,0.1
25,3,12.1,3,1.985,2,0.1,0.9,0.1
24,3,12.1,3,1.999,2,0.1,0.9,0.1
3,2,8.4,11,1.987,1,0.9,0.1,0.1
24,2,10,5,1.996,1,0.9,0.1,0.1
14,1,6.5,3,1.974,1,0.9,0.1,0.1
22,3,10.9,2,2.008,3,0.1,0.1,0.9
5,3,12.1,3,1.998,2,0.1,0.9,0.1
12,4,14.7,4,1.985,3,0.1,0.1,0.9
4,1,8.8,12,1.973,3,0.1,0.1,0.9
4,1,7.2,3,1.975,1,0.9,0.1,0.1
1,1,8.3,9,1.98,1,0.9,0.1,0.1
19,4,13.1,10,2.001,2,0.1,0.9,0.1
23,2,10.4,5,1.984,2,0.1,0.9,0.1
